Vehicle Spy 3 Bus Traffic File
Save Date,7/31/2015
Save Time,3:04:02 pm
Start Date,7/31/2015
Start Time,2:50:38 pm
System Time,1835211
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,125000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
28,425.272119625,0.0002640999999812266,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,69,5D,2C,3C,11,B3,,,
29,425.272357725,0.0002381000000468702,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,CB,13,45,,,
30,425.297188225,0.0248305000000073,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
31,425.385770325,0.0885820999999396,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
32,425.4699807249999,0.08421039999996083,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
33,425.54613215,0.07615142500003458,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,0B,1E,75,58,13,39,2A,00,,,
34,425.55033195,0.004199800000037612,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,10,,,,,,,,,
35,425.554979675,0.004647725000040737,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
36,425.643563875,0.08858419999990019,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
37,425.6489595,0.005395625000005566,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,16,,,,,,,,,
38,425.731200025,0.08224052500008838,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
39,425.749316725,0.01811669999995047,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
40,425.816232225,0.06691550000005009,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,00,10,,,,,,,,,
41,425.84966545,0.03343322499995338,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
42,425.91748295,0.06781750000004649,282574555709440,F,F,HS CAN $777,HS CAN,,777,F,F,01,10,,,,,,,,,
43,425.934859975,0.0173770249999734,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
44,425.94896695,0.01410697500000424,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
45,425.991956075,0.04298912499996277,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,,,,,,,,,
46,426.049317275,0.0573612000000594,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,16,,,,,,,,,
47,426.0743197,0.02500242499991146,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,,,,,,,,,
48,426.1380335,0.06371380000007321,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
49,426.1497046,0.01167109999994409,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
50,426.1620138999999,0.01230929999996988,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,,,,,,,,,
51,426.2368549749999,0.07484107499999482,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,,,,,,,,,
52,426.249010075,0.01215510000008635,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
53,426.311771875,0.06276179999997566,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,01,10,,,,,,,,,
54,426.355935,0.04416312499995456,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
55,426.3894249,0.03348990000006324,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,,,,,,,,,
56,426.4677436999999,0.07831879999991997,284773578964992,F,F,HS CAN $777,HS CAN,,777,F,F,02,10,,,,,,,,,
57,426.5533603,0.08561660000009397,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1B,,,,,,,,,
58,426.557486225,0.004125924999925701,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,02,00,,,,,,,,,
59,426.587175725,0.02968950000001769,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,1B,00,01,00,50,07,01,,,
60,426.60408435,0.01690862500004186,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,68,C4,2C,3C,11,B3,,,
61,426.63761755,0.03353319999996529,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,CC,13,45,,,
62,426.64449525,0.006877700000018194,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,02,00,,,,,,,,,
63,426.73122145,0.08672620000004372,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,02,00,,,,,,,,,
64,426.739470975,0.008249524999996538,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,0B,1E,75,58,13,39,2C,00,,,
65,426.743684675,0.004213699999922938,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1B,,,,,,,,,
66,426.821237575,0.07755290000000059,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,02,10,,,,,,,,,
67,426.84389965,0.02266207500008477,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1B,,,,,,,,,
68,426.922990475,0.07909082499998021,282574555709440,F,F,HS CAN $777,HS CAN,,777,F,F,03,10,,,,,,,,,
69,426.944252775,0.02126229999998941,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1B,,,,,,,,,
70,427.01285025,0.06859747499993318,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,03,00,,,,,,,,,
71,427.043613725,0.0307634750000716,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1F,,,,,,,,,
72,427.099512025,0.05589829999996709,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,03,00,,,,,,,,,
73,427.14396835,0.04445632500005558,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,25,,,,,,,,,
74,427.186177525,0.04220917499992538,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,03,00,,,,,,,,,
75,427.244302625,0.05812509999998383,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,26,,,,,,,,,
76,427.27603465,0.03173202499999661,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,03,10,,,,,,,,,
77,427.365760675,0.08972602500000448,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,03,00,,,,,,,,,
78,427.4439075,0.07814682500008985,284773578964992,F,F,HS CAN $777,HS CAN,,777,F,F,04,10,,,,,,,,,
79,427.5205788,0.07667129999992994,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,21,,,,,,,,,
80,427.5336301,0.01305130000002919,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
81,427.614959025,0.08132892499997979,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,21,,,,,,,,,
82,427.62029875,0.005339724999998907,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
83,427.706967075,0.0866683250000051,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
84,427.71531655,0.008349475000045459,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,22,,,,,,,,,
85,427.732397175,0.01708062499994867,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,22,00,01,00,50,07,01,,,
86,427.732663275,0.000266099999976177,290271137103872,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,68,2C,2C,3C,11,B3,,,
87,427.7329033,0.000240025000039168,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,CE,13,45,,,
88,427.7482701,0.01536680000003798,438705206853632,F,F,HS CAN $441,HS CAN,,441,F,F,03,41,00,0C,13,39,2C,62,,,
89,427.793971175,0.04570107500001086,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
90,427.814645475,0.02067429999999604,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,26,,,,,,,,,
91,427.880793075,0.06614759999990838,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
92,427.9149943499999,0.03420127499998671,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,21,,,,,,,,,
93,427.970648675,0.05565432500009138,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,04,10,,,,,,,,,
94,428.015320925,0.04467224999996233,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,24,,,,,,,,,
95,428.0605039249999,0.04518299999995179,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,04,00,,,,,,,,,
96,428.1146554,0.05415147500002604,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,27,,,,,,,,,
97,428.1247367,0.01008130000002438,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
98,428.1383039,0.01356720000001132,284773578964992,F,F,HS CAN $777,HS CAN,,777,F,F,05,10,,,,,,,,,
99,428.212875,0.07457109999995737,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
100,428.215013025,0.002138025000022026,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,25,,,,,,,,,
101,428.30093325,0.0859202249999953,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
102,428.32461385,0.02368060000003424,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
103,428.377772375,0.05315852499995799,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
104,428.4116475,0.03387512500000866,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,21,,,,,,,,,
105,428.452594925,0.04094742500001302,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
106,428.5266300249999,0.0740350999999464,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
107,428.530097825,0.003467800000066746,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
108,428.5825894249999,0.05249159999993935,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,21,,,,,,,,,
109,428.621502925,0.03891350000003513,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
110,428.68293965,0.0614367250000214,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,25,,,,,,,,,
111,428.69632095,0.01338129999999182,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
112,428.72992875,0.03360780000002706,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
113,428.773161975,0.04323322499999449,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
114,428.78328525,0.01012327499995536,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,27,,,,,,,,,
115,428.800405775,0.01712052499999572,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,27,00,01,00,53,07,01,,,
116,428.8006718749999,0.000266099999976177,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,68,2C,2C,3C,11,B3,,,
117,428.800911975,0.0002401000000418208,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,CE,13,45,,,
118,428.8157567999999,0.01484482499995465,504675904520192,F,F,HS CAN $441,HS CAN,,441,F,F,0E,0F,00,00,13,39,2E,00,,,
119,428.8486768,0.03292000000010376,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
120,428.882625975,0.03394917499997518,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,24,,,,,,,,,
121,428.9242053,0.04157932499992967,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
122,428.930622975,0.006417675000079726,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
123,428.98299245,0.05236947499997768,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1E,,,,,,,,,
124,429.000461475,0.0174690249999685,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
125,429.07585645,0.0753949749999947,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
126,429.08328805,0.007431600000018079,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,23,,,,,,,,,
127,429.1294571,0.04616905000000315,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
128,429.15282755,0.02337045000001581,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
129,429.183636975,0.03080942500002948,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,26,,,,,,,,,
130,429.24158925,0.05795227499993416,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
131,429.317164675,0.07557542500001091,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,29,,,,,,,,,
132,429.319590675,0.002426000000014028,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
133,429.33276195,0.0131712749999906,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
134,429.39585175,0.06308980000005704,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
135,429.47125075,0.07539899999994759,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
136,429.534644625,0.06339387499997429,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
137,429.548085825,0.01344119999998838,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
138,429.5533254999999,0.005239674999984345,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,29,,,,,,,,,
139,429.636849975,0.08352447500010385,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
140,429.6536427,0.01679272499995932,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,24,,,,,,,,,
141,429.721606225,0.06796352499998193,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
142,429.73464755,0.01304132500001742,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
143,429.7540259499999,0.01937839999993684,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1D,,,,,,,,,
144,429.79786715,0.04384120000008806,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
145,429.853332425,0.05546527499996046,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,1D,,,,,,,,,
146,429.87045905,0.0171266250000599,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,1D,00,01,00,52,07,01,,,
147,429.87072115,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,68,2C,2C,3C,11,B3,,,
148,429.87095525,0.0002340999999432824,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,D3,13,45,,,
149,429.87339515,0.00243990000001304,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
150,429.8858122749999,0.01241712499995628,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,0E,0F,00,00,13,39,2F,00,,,
151,429.9340790499999,0.04826677500000187,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
152,429.94751835,0.01343930000007276,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
153,429.953708025,0.006189674999973249,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,19,,,,,,,,,
154,430.029666925,0.07595890000004601,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
155,430.05403095,0.02436402499995438,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,18,,,,,,,,,
156,430.107095525,0.05306457500000761,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
157,430.1373896,0.0302940750000289,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
158,430.153372375,0.01598277499999767,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,17,,,,,,,,,
159,430.184058375,0.03068599999994604,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
160,430.25372245,0.0696640749999915,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,17,,,,,,,,,
